Nome;Código
SA - BL A - 1º ANDAR - REITORIA;SAA01SREITORIA
SA - BL A - 1º ANDAR - A109-0;SAA01A109
SA - BL A - 1º ANDAR - A110-0;SAA01A110
SA - BL A - TORRE 3 - 6º ANDAR - S608-3;SAAT306S608
SA - BL L - 7º ANDAR - S707;SAL07S707
SA - BL A - 1º ANDAR - A112-0;SAA01A112
SA - BL A - 1º ANDAR - A111-0;SAA01A111
SB - BL DELTA - 3º ANDAR - S345;SBDELTA03S345
SB - BL DELTA - TÉRREO - LAB. SISTEMAS DE PRODUÇÃO E EFICIÊNCIA ENERGÉTICA- L002;SBDELTA00L002
SB - BL TAU - 2º ANDAR - S203;SBTAU02S203
SB - BL ALPHA - 1º ANDAR - S104;SBALPHA01S104
SA - BL B - 1º ANDAR - LAB. DE MULTIMÍDIA – SALA INTERNA (EI) - L102;SAB01L102
SA - BL A - 5º ANDAR - S536-2;SAA05S536
SB - BL TAU - 3º ANDAR - S309;SBTAU03S309
SA - BL A - TORRE 3 - 5º ANDAR - SALA DE DOCENTE - S560-3;SAAT305S560
SB - BL DELTA - 2º ANDAR - S231;SBDELTA02S231
SB - BL ZETA - TÉRREO - LAB. DE BIOLOGIA MOLECULAR - L009;SBZETA00L009
SA - BL L - 1º ANDAR - LAB. DE DINÂMICA NÃO-LINEAR - L108;SAL01L108
SA - BL A - 1º ANDAR - ZELADORIA;SAA01SZL
SB - BL DELTA - TÉRREO - S018 - PROAP;SBDELTA00S018
SB - BL ÔMEGA - TÉRREO - LAB. DE MECÂNICA COMPUTACIONAL - L012;SBOMEGA00L012
SB - BL DELTA - 1º ANDAR - LABORATÓRIOS DE COGNIÇÃO HUMANA - L108/L109/L110;SBDELTA01L108/109/110
SB - BL ALPHA - 3º ANDAR - LABORATÓRIO DIDÁTICO ÚMIDO - L305;SBALPHA03L305
SA - BL A - SUBSOLO - LABORATÓRIO DE MODELAGEM AMBIENTAL E URBANA - LS04;SAASL4
